,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.28379813,0.34787995,-0.4983079,0.09971876,-0.17353281,-0.057698727,0.20884807,-0.2448735,0.079178095,0.13956222,-0.51780874,0.34173852,-0.46910527,0.1480323,0.72806257,0.13258936,0.43668586,0.26319697,-0.2521774,-0.1605203,0.082386255,-0.28641957,0.33504337,-0.8826462,-0.4226166,0.56785214,0.397029,-0.4095403,0.41249916,-0.11266884,0.31855348,-0.8338833,-0.15615577,0.3198486,-0.12560247,-0.15485296,-0.41494125,-0.038202558,-0.04864583,0.3398455,-0.29613453,-0.20393786,-0.20991908,0.2105144,-0.059170533,0.23794366,0.1964029,0.16046815,0.21829787,0.38719246,0.381005,-0.28636062,0.026464695,-0.28688908,-0.122437954,0.26492003,-0.41794991,-0.38982028,-0.17764057,0.23160103,-0.39274463,0.045731135,0.20912492,-0.009215089,-0.053012762,0.1647067,-0.14719543,-0.5497897,0.75607866,0.046506666,-0.5453676,-0.40445232,-0.099893436,-0.5329724,-0.04452885,-0.19738738,0.050613612,-0.107839674,-0.16120516,-0.47131073,-0.3487401,-0.120963916,-0.31924415,-0.01770691,-0.3697904,0.23570935,0.2130507,0.3388972,0.70947516,-0.37246823,0.22340463,-0.11720526,0.005211535,0.058179844,-0.031029504,0.12782614,-0.027825728,-0.34756595,-0.047160096,-0.05468991,0.18316714,0.32467914,-0.20191723,0.36982036,-0.43974736,-0.22341816,-0.27059963,0.10083272,0.22318628,0.026782075,-0.29791975,0.101827174,0.32474163,-0.055657912,-0.29283482,0.3939692,-0.57993007,-0.16989535,-0.53334224,-0.07928178,0.067538425,-0.11853695,0.32290357,0.09043189,-0.32892424,-0.23872119,-0.45930982,0.3374514
1,0.25334075,0.068620875,-0.51645684,0.27241564,0.42407283,0.028410185,0.28263175,0.022419114,-0.08549112,-0.32436568,-0.05702981,0.37023327,-0.28798878,-0.3733467,0.061286494,0.20175299,0.46686596,-0.018241014,-0.38006678,-0.09072817,0.042804506,-0.040990308,0.23339872,-0.48255035,-0.35214782,0.25706697,-0.057701644,-0.48616555,0.18907633,-0.38757354,0.5528278,-0.86456984,-0.029220022,0.57695657,-0.179814,-0.33032647,-0.11306426,0.01853534,0.19325338,0.25174004,-0.57391137,0.24793638,0.0029266148,0.25737426,-0.103807256,0.2348462,-0.1848977,0.43670028,0.6882327,0.16568287,0.27720833,-0.3484519,0.089459635,-0.38869557,0.5740019,0.4396376,-0.22909495,0.05546717,0.075645104,0.55847466,0.05051411,-0.34208554,0.31214318,0.06111952,0.4349833,-0.22712304,-0.18364553,-0.40677282,0.7564793,-0.33342025,-0.13732006,-0.060564835,-0.006935118,-0.19020338,0.028088104,-0.11630698,-0.03826639,0.07282257,-0.19780834,0.064921595,0.049205005,-0.1595345,0.21545185,-0.034326185,-0.17925192,0.18729891,0.26923725,-0.07354713,0.3730758,-0.5223479,0.32156125,0.28287297,0.541846,0.30131254,0.088633716,0.048694625,-0.05950832,-0.28198308,0.07675364,-0.6796891,0.1707957,0.27313995,-0.013076387,-0.19007644,-0.27084377,-0.3255181,0.012582886,0.23678067,0.015397669,0.27911675,-0.5055204,-0.29264593,0.000686421,-0.19334657,-0.110247806,0.45131314,-0.55472034,0.12202093,-0.523684,-0.05254621,0.37809667,0.486365,0.23338462,0.13657798,-0.7091315,-0.5328471,0.054750003,0.18182318
2,-0.06371315,-0.04088801,-0.40038675,0.19486214,-0.036503647,-0.08670674,-0.15642361,-0.27921775,0.07427846,-0.1940913,-0.067942284,0.053453796,-0.2714761,-0.058842286,-0.02003548,0.12663785,-0.016150337,-0.017126562,-0.11995251,-0.36670798,0.25686902,0.25727627,0.31575507,-0.23484516,-0.35238734,0.24609625,0.08466701,-0.32230735,-0.1511543,0.17159924,0.41924903,-0.3285977,0.014437957,0.1205933,-0.27096084,-0.31836176,-0.034946226,0.04411159,-0.25721872,-0.024428159,-0.38486245,0.08408147,-0.27580118,0.29472488,-0.38208517,0.0778353,0.34395975,-0.21928497,0.0849991,0.08500703,0.5117316,-0.55005056,-0.17978531,-0.548942,0.26598346,0.56769115,-0.021448543,0.04401455,0.05927053,0.28175724,-0.33448052,-0.13736644,0.11335841,0.2042517,0.47288185,0.28651288,-0.21293147,0.08655102,0.31201583,-0.024520911,-0.13434497,-0.44760796,-0.47435632,-0.12682411,0.14466593,-0.2302537,-0.5241969,-0.011675069,0.44334266,0.080911614,-0.22890879,-0.13506414,-0.015025382,0.1091362,-0.16124977,0.23699299,0.08255656,-0.10940214,0.20333117,-0.3190042,-0.08146673,-0.3040638,0.09227429,-0.2437547,0.22116384,0.06898998,0.35085663,-0.59375453,-0.17901407,-0.20234261,-0.03326364,-0.1586064,-0.16097505,-0.023127615,-0.17449382,-0.16306077,-0.1562252,0.18590148,0.21574672,0.22753605,-0.10371229,0.06244401,-0.0629366,0.2790287,0.1482478,0.46016687,-1.0039133,0.0066530993,-0.17427582,0.18806031,-0.22211634,-0.0739315,0.1896313,-0.06360441,-0.34089974,-0.34263033,0.11995071,0.27254367
3,0.11183186,-0.20892374,-0.47268394,-0.020925831,-0.17135803,0.19202927,0.006375075,-0.015357815,0.23304795,0.073086955,0.13619684,0.17551869,-0.1126533,0.21871325,0.14707161,0.13283427,-0.1627299,-0.34606877,0.08304577,0.11948612,0.3457766,-0.43984783,0.21175066,-0.33048218,-0.29246032,0.25964823,0.29411942,-0.3569773,-0.29741076,-0.01577547,0.08513046,-0.21954866,-0.24902168,0.25278306,-0.14300853,-0.11427078,-0.21929574,-0.024740743,0.19943643,0.26472342,0.045845896,0.14993124,-0.21285528,0.25268778,0.009374273,-0.23559293,-0.0490862,-0.0030175697,0.6996977,0.13764359,0.31155565,-0.29476526,-0.1645684,-0.28005093,0.25932172,0.49324948,-0.32356545,-0.10195729,-0.12262062,0.13160151,0.02297706,-0.041260507,-0.20529884,0.09420266,-0.14286186,0.3173684,0.18185304,0.008011657,0.45398593,0.51272476,-0.5575396,-0.38887244,0.13190676,-0.16364376,-0.32529587,-0.19348216,0.329439,0.21011826,0.24241103,0.20934594,0.16814986,0.074419096,0.039609406,0.24082719,-0.02003995,0.058916505,0.20797402,0.1397893,0.24753217,-0.12929392,0.5515786,-0.056051686,0.031723212,0.118101306,0.012608208,-0.103229344,-0.16218004,-0.72103244,0.17221275,-0.050399642,-0.06920631,0.16769066,-0.048743423,-0.12605749,-0.12577936,-0.067195654,-0.22213736,0.054715674,0.112383306,0.1566493,-0.26056018,-0.041659374,-0.22262016,0.4591013,0.02310731,0.4617437,-0.7213676,0.04297565,-0.04859712,0.2710704,-0.022915486,0.09770614,0.016856622,0.11811174,-0.3401761,-0.05556097,-0.08279984,0.16687974
4,0.20997614,0.1650672,-0.4496895,0.1539103,0.34799224,-0.047548164,0.39237756,-0.680343,0.24708109,-0.4725429,0.32303047,-0.113585256,-0.089059256,0.302862,-0.039032985,-0.17313407,0.32062703,-0.61374986,-0.138788,-0.5085459,-0.016336825,0.13122171,0.3737364,-0.82784873,0.025081802,0.10567004,0.15667568,-0.0634366,0.28186652,-0.09430279,0.32153866,-0.8774558,-0.4896105,0.552142,-0.1482568,-0.33565548,-0.75536585,-0.22286111,0.14853942,0.11501865,-0.4892999,0.29545385,-0.16883466,0.80662555,-0.67420715,0.36408612,0.1988023,-0.32588628,0.21510358,0.6519629,-0.22827336,-0.584351,0.03643023,0.1341052,0.04654976,0.43121016,-0.413346,-0.21935283,-0.16160767,0.24933149,-0.056829363,-0.08742055,0.53951275,0.13944568,0.3373673,0.002558711,-0.2094258,-0.41789111,0.55398625,0.46235016,-0.25675792,-0.4132701,-0.5114365,-0.4454927,0.011054799,-0.28010842,-0.43252555,-0.07356511,0.0487824,0.15230122,0.058416642,-0.37629002,0.036888227,-0.04992804,-0.43893215,0.29154494,0.05975682,0.23439494,0.7688315,-0.23320518,0.8634703,-0.256722,0.25541553,0.40284404,-0.04701152,-0.1835136,0.006698048,-0.40844306,0.5569541,-0.09269691,0.30381852,0.53266555,-0.20865223,-0.31361264,-0.66100955,-0.24702659,-0.27581084,0.26373327,-0.38282424,0.27555388,-0.7602018,-0.008653137,0.3451296,0.3346481,-0.41091502,0.44942698,-0.54324347,-0.44844276,-0.04746697,-0.32890868,-0.1203833,-0.36498153,0.15695445,0.47416395,-0.5767535,-0.3172452,-0.45233017,-0.011715979
5,0.06634268,-0.071438596,-0.5692199,0.41974503,0.006160155,0.22547472,0.1882466,-0.4137814,0.18137535,-0.19349232,-0.09700485,0.26003718,-0.25477585,0.33816683,0.28693047,0.11614991,-0.120739415,-0.10704501,-0.19678964,-0.061886553,0.4728049,-0.060242895,0.043263495,-0.16045038,-0.2157161,0.26784986,-0.057216685,-0.4370344,-0.07049684,-0.2436627,0.086865574,-0.12153033,-0.08536381,0.29435718,-0.11237167,0.07372476,-0.106593534,-0.13659275,-0.11591186,0.17863531,-0.27229753,-0.14791577,-0.049044583,0.44748816,-0.6211352,-0.26675048,0.2919656,0.015293716,0.4811569,0.16376086,-0.003175206,-0.28346294,-0.11357809,-0.32081807,0.12540752,-0.049249325,0.025052095,-0.19960289,0.06239701,0.45384207,0.0059926673,0.080117844,0.27317268,0.22646065,0.28456804,0.14159323,0.25364107,0.22923099,0.7834447,0.23002575,0.025793053,-0.43316785,-0.42994776,-0.1556109,0.052687075,0.12185257,0.1781305,0.2292052,-0.3320913,0.094827354,-0.19434272,-0.29561198,0.08416796,0.096719116,-0.12388636,-0.28237653,-0.09162224,0.028925102,0.5962984,-0.48308825,0.45761377,-0.10229604,0.2681777,0.17680003,-0.0072513833,0.06838301,0.013501706,-0.4738238,-0.11307118,-0.11480477,-0.14190826,-0.25893167,-0.37943223,-0.072051905,0.011438765,0.02271337,0.025180325,0.20320334,0.25822222,0.19321325,-0.33900797,0.13812949,-0.106852986,0.06476452,-0.009741382,0.121504076,-0.8712085,-0.03494623,-0.01194967,0.07961749,0.11627025,-0.04147724,0.09214206,-0.041813448,-0.38488352,-0.1446787,0.14392348,0.243783
6,0.034353256,-0.054733127,-0.570738,0.40797913,0.025435701,0.20869598,0.16309181,-0.3991229,0.17743947,-0.24792261,-0.10739196,0.25194138,-0.27559212,0.3405579,0.27737293,0.0979956,-0.10405936,-0.060019836,-0.22385357,-0.07900573,0.44820404,-0.039928094,0.033429626,-0.11783017,-0.23836897,0.28179735,-0.053787615,-0.4406128,-0.057863187,-0.18890813,0.11007877,-0.10821353,-0.054546703,0.2803806,-0.11739625,0.05975783,-0.09795877,-0.13173017,-0.13699248,0.16946623,-0.27015477,-0.17507349,-0.058046997,0.42321658,-0.63426846,-0.2523201,0.28938836,0.001809196,0.45905468,0.17359883,0.028199673,-0.28701285,-0.10000865,-0.31850725,0.13329728,-0.033231795,0.011140113,-0.19083259,0.07316388,0.4612461,-0.009358116,0.086501874,0.2740504,0.23505701,0.30133274,0.1297561,0.24413478,0.23456505,0.7606021,0.23856418,0.053889982,-0.44076654,-0.44951952,-0.11890069,0.0727843,0.13353784,0.13248734,0.23064782,-0.3115467,0.09523302,-0.19768806,-0.2768565,0.04762585,0.0925279,-0.14193797,-0.27832636,-0.095765956,-0.00063511834,0.5985929,-0.48546734,0.43226182,-0.11249988,0.25939438,0.15914187,0.019713802,0.098656826,0.03664752,-0.49224192,-0.10800285,-0.12416412,-0.13893169,-0.28614295,-0.3754262,-0.088983685,0.013460073,0.0009509265,0.010089679,0.25102168,0.27408722,0.1998573,-0.33398798,0.16523439,-0.11980924,0.07350821,0.010150699,0.13935189,-0.8728355,-0.023065753,-0.014801216,0.08577445,0.104688264,-0.03633026,0.10618119,-0.056531966,-0.40334025,-0.1588974,0.17268606,0.2626104
7,0.109739944,0.01093346,-0.16291702,-0.024351584,0.092738695,-0.05230916,-0.048672136,-0.15403806,0.31765032,-0.2506566,-0.27602836,0.35165548,-0.26187977,0.07387775,0.11138521,-0.05520674,0.21035464,0.018402386,0.50669473,0.07863029,0.011045621,0.17270681,0.21982221,0.22502297,-0.3295498,0.09547032,0.25373918,-0.546832,0.019605966,-0.17313252,0.07837272,-0.41860408,-0.24167013,0.24394323,0.114136696,-0.26833716,-0.13447195,-0.025745606,0.30920726,0.16540426,0.2528798,-0.025482893,-0.09530381,0.20210217,-0.41343474,-0.14668529,-0.119245075,0.2794748,0.34698316,-0.18602803,0.15564269,-0.22578838,-0.064129725,-0.48420575,-0.12727816,0.29857573,0.19296087,0.07913099,-0.110498175,0.3408885,0.010612957,-0.07126189,0.105726756,0.26112232,0.19645679,0.17962596,0.0092434045,-0.2350571,0.034073956,0.33825004,-0.0058775507,-0.31112733,-0.0835743,-0.06559194,0.20796785,-0.10451147,-0.007833354,0.03339136,0.33564574,0.2612774,0.14113252,-0.35329178,-0.428929,0.3356271,0.17641945,0.33602467,0.023406217,0.29838017,0.19060315,-0.40705565,0.16403691,-0.19087297,0.11202234,0.019867204,0.2072762,0.62009084,0.1448672,0.050839383,0.3877418,-0.20935535,-0.16559458,-0.010614119,-0.013655793,0.17598699,-0.127016,-0.10763398,-0.2591532,0.261764,0.1488894,0.16371505,-0.07990979,0.2120548,-0.06460664,-0.042162746,-0.1456142,0.32291627,-0.48138037,-0.0013419428,-0.13742296,-0.004470972,-0.16212863,-0.30267325,0.24596204,0.18661197,-0.45341852,-0.08582181,-0.35324052,-0.043012187
8,0.11330561,-0.10479102,-0.27609092,0.1500512,0.015241445,-0.047718767,0.12411235,-0.26416743,-0.060679775,0.024290975,-0.31292114,-0.023606978,-0.20397164,-0.16439947,0.2630487,0.18480983,-0.00453258,-0.50053275,0.09172772,0.02770127,0.24865256,-0.13941917,0.1402562,-0.288689,-0.56026345,-0.21446395,0.1593754,-0.30641732,-0.20889863,-0.32731262,0.13933057,-0.13269274,0.13613023,0.15955442,0.020816585,0.08408829,-0.28199473,-0.06669872,0.15259932,-0.22767122,0.0345731,0.4358239,-0.124595605,0.42313495,-0.53562415,-0.118082635,0.1136057,-0.17788869,0.29746947,0.12139942,0.53826827,-0.20767504,0.01959707,-0.31691566,0.6324279,0.26572704,0.12997307,-0.055786964,-0.30273908,0.32286474,0.22389607,-0.019955259,-0.09117405,0.21994424,0.16815318,-0.21234702,-0.29958916,0.0060370346,0.41111767,-0.14523327,-0.25653252,-0.20200212,-0.44756672,-0.22627504,0.3831327,-0.14773682,0.058509093,0.11002446,0.4626214,-0.013875069,-0.20352246,-0.033588536,-0.10709064,0.25565043,0.057080492,0.008593762,-0.14671992,-0.0047733174,0.37210554,-0.41817582,0.62430084,-0.34020165,0.03494177,-0.14853841,0.28591323,-0.4063536,0.043468256,-0.5306026,0.01885911,0.16367967,-0.3195405,0.1951239,-0.045699973,-0.22441243,0.35146886,0.17978092,-0.35118154,0.013414698,-0.07053921,0.427841,-0.6906381,-0.017151501,0.29268065,-0.04858824,-0.14311452,-0.01054376,-0.7259958,0.24116516,-0.02836673,-0.42400753,-0.2162464,0.2609534,-0.18582961,0.31539255,-0.103688,0.20373793,0.13709399,0.30999348
9,0.18145053,-0.16785023,-0.17464699,0.48380598,-0.032327406,-0.27288792,0.144406,-0.29675734,-0.1564991,0.19172898,-0.1597478,0.062458582,-0.050546404,-0.5224038,-0.13869648,0.16782297,0.025968447,-0.11520486,0.20833936,0.20916542,0.19520263,0.004937623,0.09826727,-0.011979349,-0.20214532,-0.17167577,0.07355765,0.015917499,0.045616202,-0.25815272,0.43966004,-0.2623515,-0.070873804,0.22330528,-0.10752962,-0.025884544,-0.16032742,-0.08279996,0.2833497,0.23819646,0.21509117,0.0304495,0.14152624,0.094028935,-0.34448913,0.14251901,-0.21475172,0.4500289,0.14736179,-0.10769967,-0.005702884,-0.11150622,-0.08061629,-0.22020139,-0.1496152,0.35033584,0.3211919,-0.22293721,0.14079475,-0.11504798,-0.0661523,0.021487368,-0.23418005,0.33224726,0.31071162,0.06631685,0.10067352,-0.16201681,0.44756404,-0.15921512,-0.25813258,-0.19235726,-0.3375619,-0.20166852,0.04368496,-0.19949731,0.3875628,0.032782692,-0.13662359,0.078892194,0.2773336,-0.30853802,0.051734377,-0.13106777,0.23608603,0.3730109,-0.21538149,0.28506753,0.36729482,-0.1449785,0.31338447,-0.234433,0.46460435,0.0041745314,-0.06887083,0.32608333,0.25505874,0.21702152,0.23591432,-0.025972176,0.07257766,-0.010954017,-0.11088603,0.007012076,-0.53754354,0.07070437,-0.35634786,0.08647602,0.19119024,0.08880329,-0.28813642,-0.17762525,-0.02826569,0.13442601,-0.2760628,0.22059329,-0.4934813,-0.16139336,-0.07180282,-0.2711724,0.23992574,0.10985158,0.24153522,-0.37636355,-0.27580905,0.37759328,-0.275859,0.16568689
